content,label
Ane ithin mewa hodai mole nethi unta viswasa karanna.,0
Metharam hodata avith awasaane sarame giyanew.,0
Meka thamai ape rate raththran minissunge sengawela thiyana Dn eka.,0
Mokakdo karuma sallivlt waha vatila e de sengavila gihin… Eth mehema awasthavl ibema eka eliyata enawa..E de mona sakkarayatwath baa.,0
Mole tikak thiyanava neda aulak na okkoma pili gani add akak kiyala arakath.,0
Karadarekadi wagema anith hema welawemath oya manussakama oya vidiyata thiyenm godak lassana ratak me rata… Respect…!!!,0
Kochchara kaalakanni hitiyath thaamath mehema minissu ithuru welala inna eka gena denne puduma aadambarayak. Meka thamai sri lankikakama…,0
Vinayak athuwa wahana elawana magra neethi pilipadina riyaduran pirisak bihikireemay yugaye awashyathawaya. nathuwa ( murandu/ awadanam/ nosalakilimath/ kalakanni --- kiyanna wachana nahe) happala atha paya kkadala jeewitha paligaththama ane apoy kiyala duk wela wadak nahe.,0
Mowunta uparima danduwam dena. thada neethi hadanna ona. kenek maruwama miniya nochariyen eliyata ganna issella happapu eka epa pita eliyata daalaa.,0
ithin minissu bayanahe. diyunu ratawalwala wage neethi thadin kriyath maka karala dadi danduwam denna ona.,0
ape ayata thama happunama nidahasata karu daahak thiyenne. break nathiwuna// lissuwaa/ dakke nahe./ eka para panna.....,0
Malinga labana mase candawta gihin golble t20 tournament eka sellan karanawa.,0
Sumathipala pamanak iwath kalata wedak Naha. Ekata manapa un hatagananak withara innawa.unuth me game wala Kotas karayo.,0
Mewage manussakamak thiyana ratharam minissun lankawe Inna eka gana proud wenawa respected you'd work me wage ashinsaka dupath minissunta thama lankawe manussakamak thiyana anith kalakani loku add damata appreciate you services Budun wadiya rate inne deviwaru mewage ayata thanks pin labend blessings themselves to have better lifestyle Salli wasiyata manussakamak thiyana kalakani Inna society eka mewage deviwawaru wage Aya Inna ekath proud of Sri Lanka.,0
Buki karayonta owa dunnma u ekath wikunagena kanawa. mokada munta ona kohomahari salli.,0
"“Kauru mona kiwwath karadarayakadi ape minissu, lankawe minissu devivaru,, Athdekeemen kiyanne,,,jaathibeda nathi manussakama,,,”",0
“Lankawe minissu hri wenas bn... Udaw karapu un siyalu denata pin pala ath wevi.. E pinenma siyalu roogin suwapath wevi.”,0
"Mona jaathin,mona aagamak, eya kese uvath, Ann niyama sri lankikakama.",0
Kurunegala kiriwaule idan bike eke yaddith paandara man peralila wetunam e welawe sadde ahila avith bike ekath hadala dila mata behethuth daala dunna kollo hitiya.,0
Ehema thamai ape un hri hondai. Aula thiyenne ape unta welavakata ena prashna ekka anith minissunge prashna gena hithannna bari wena welaaval enawa. Manussakam pirunu uthum manussayanta mage aacharaya! ,0
"Ratak, jaathiyak vashayen.. Manussakamin.., api anka 1..",0
Ethanadi api thamai lookaye pohosathma rata…!,0
"“Ape unta pihitata inne apema aya vitharai… E apekama hema lee binduwakama gaauna nisa.. Ape unta thiyenne ape rata vitharai… Rata,jaathiya,manussakam rekagena api idiriyata yamu..!”",0
Un aapu wheel eka nawaththala gaanu aya behala ape ekaawa wheel ekata daagena hospital ekata yanakan udaw kara.. Deiyyo baluwa wage.. Raththaran kollo tikak.. Api pisso wage ICU ekata diwwa.,0
Muslim ekkenekuth othana innawa. katha karanne eya thamai. Monawa unath api okkoma lankikayan kaata karadarayak unath. Ape rate kenektane.,0
Thangalle paththe mala gedarkt gihin enakota thamai me anathura wela thiyenne. Maruna kaanthwa dance teacher kenek.,0
Mechara ara minissu dagaladdi eeka video kara kara hitapu eka kawuda?,0
Me wage dewal media wala penwanne naha...minimarana ewanam daanawaa..,0
Respect hamotama budusaranai.,0
Dukedi pihita wena sanwedi Ape Rate ehemai.,0
Udaw krnn apu hemotama godak pin.,0
Bus ekaka siit 2 k vithara wenkaralama thibboth mokada babala wadan inna ayatama.nethuwa lankawe aun hadanda be hoda aya nethuwamath nemei sit aka dunnath eka apasu wenakenekta diila yana minissuth innawa.,0
Ayyo ragamin bahinne ai badulu train ekate nagge eke yanne atha yane minissu . Lamai hitiya kiyala ai anunte karaderayak wenne . Tikak hamoma gane hithanne ona.,0
Hithanna payhi 2k thiyanawa .badulla colombo kiyanne kenekta hitagena yannapuluwzn durak neme.hodama de welasana gihin nagina eka nathnam book karana eka.kauru unath anith aya gana hithanna oone.,0
Bus aheka kochchiyaka Sheet ekak denna ba Fb wall ekenam Manussa kama onatharam Sinhala jathiya Loke wada wemin pawathi.,0
Fb eke boru sobana comment dana hari haiyen kagahana wadi denkuge thathweth oka thamai. Ethana eka manussayek uthsaha karaddi wena kenkugen udauwak labunewath naha.,0
Okama matath wela thiyenawa amma kenekuta sheet ekak aran denna gihin. Wadak naha lankawe inne fb weerayo tikak. Haba lokedi unge jeevithath kunu godawal.,0
Kalin gehein setekak allagena heteye nam ewarai ne hothe padam menessu puruduwela in ne then eka nesa thoskeyanna bahe hema kenekma mahanseyen yanne gaman beman.,0
Sinhala minissune bn,0
lokuma varada thamai wen karala tiyana seat vala ina un thamai seat denema nathe.,0
Denata lankawe jeewath wenne sathun.,0
Ea unata ape eunge JATHIKATHWAYA khomada.,0
Mage ratata giya kalak.,0
Monava unath ela kollo dennek.,0
Ekata ape ema kiyala eun wagayakata deela un ita hapan nalla male horu.,0
Ape horu allanna ita wada horu tikakata chande dunna.,0
E thamai Nayakayo... Api eka horek elawanna thawath horekawa genawa.. Uge wede parana horawa araksha karamin mooth horakam karana eka.,0
ape rate ewa koheda...oya Mahabankuwata kelala.....tie coat andan parlimen enne.....ehema ratak lankawa ara..''kalin dakala na thama.,1
Dan mawa dakala lankawe janadhipathi kiyai mama taliphone aken malayasiyawata katha kala masa dekata mehema dewal une nehe kiyala sirata Facebook akath samaga malen inne!,0
Dekkama asata kandulu enawa.,0
Anna niyama minissu.,0
Vedi thiyaddi duwan awilla ussan yanna baane.. anee manda caption daaddi poddak kalapana karala daanna.,0
Mataka tiyaganna obalata pihitata enne obala ???? karana car karayo newei me wage ahinsaka minissu tamai.,0
Me agayakireema aththatama watinawa.. mokada samara polis mahaththurunge weda nisai mahajanayata policiya epa wela thiyenne..,0
"Apo… Hema ponna katahandakatama patta, lassanai kiyala comment daana gon wessiyo tikakui, rata harak tikakui hema thenama innawane.. thope rasaaswaadaya gena hithaagann puluwn.. mun wage gobba gaayako hemathenama inne thopi wage un nisa thama…",1
Amma thaatha dennama nathiwa podi kaale idan thanikamat huruwela jeewath wenna igana gaththa eka watinawa.,0
Aniwaren police niladarin ha mahajanathwa athara sambandaya wadiwenawa.,0
Ratheran minissu kiyanne onna oya ayata API hamotama udauviyautui davipihitai.,0
Mudalin maninna beri unath karapu de me minissu agayapu eka watinwa.edithara hith ratata onema welwak meka.,0
Nitharama wage kujeetha unath me sathkriyawen nam puujithay sir....adambaray awankawama.,0
Me sahodarawarun age kirima loku deyak. Eth daruwekuta thaththek wagema biridekuta swamipurushayek nethi una ekai duka.,0
Wenda oni dewal agayakireema wedagath.,0
Niduka nirogi wewa budu saranai.,0
"""Oba siyalu denata,suba anagathayak prarthana karami.""",0
E unt policiyata udaw kalaata wedak na.,0
Ake sitin gaurawa karami.,0
Eka hoda wadk.,0
Hamotama adarshyak. !!adambarai sinhala yek widihata.,0
Theruwan saranai oyalata.,0
Goothrikynt mona pahasukmda oi.,1
Thambinta hri demalunt hri thamai ithin ova.,1
Ai mewa lankawe hadann beri.. Three wheel eke idan jokaa dakwa indiaven.,1
Maasen iwrai.Vinasha karala daavi ape heththa.,1
